EmployeeId,UniqueCode,NetworkId,firstname,middlename,lastname,nameprefix,namesuffix,preferredname,department,division,orgunitnumber,companycode,companynumber,hierarchy,location,locationName,manageremployeenumber,managerfirstname,managerlastname,managermiddlename,workemail,workphone,extension,fax,mobile,pager,secondaryphone,title,employeetype,employeetypedescription,regtempin,fulltimeparttimein,status,employeestatusdescription,Street,City,Province,zipcode,userstate,region,country,approver,delegate,jobcode,costcentername,costcentercode,sunrisedate,sunsetdate,vacationstart,vacationend,mailcode,hiredate,terminationdate,lastdayworked,contractstartdate,contractenddate,lastperformancereviewdate,lastperformancereviewresult,standardhours,shiftcode,shiftname,dom_intl_in,TerminationDate
1080,DB1080,DBridges,Demetria,N,Bridges,,,,Branding,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,3,Los Angeles,,1070,Mira,Mcclain,,Demetria.Bridges@sec.com,804-415-1105,,,01604 682 400,,,Vice President Advertising,FT,FullTime,Regular,FullTime,1,,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1070,,M1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1095,RH1095,RHarding,Rosalyn,,Harding,,,Rosie,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,N,Rosalyn.Harding@sec.com,658-224-0378,,,01788 530 900,,,Associate Vice President Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1080,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1099,YT1099,YTwist,Yeo,,Twist,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,N,Yeo.Twist@sec.com,742-751-3551,,,01992 476 000,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1080,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1130,AP1130,AParker,Amena,,Parker,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,N,Amena.Parker@sec.com,665-610-3614,,,01977 688400,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1080,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1131,MB1131,MBean,Montana,,Bean,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,N,Montana.Bean@sec.com,314-922-8343,,,01287 655 157,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1080,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1136,JC1136,JCharles,Jelani,,Charles,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,N,Jelani.Charles@sec.com,525-481-8949,,,01727 822 771,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1080,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1345,AW1345,AWong,Annie,,Wong,,,Ann,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,3,Los Angeles,,1080,Demetria,Bridges,,Annie.Wong@sec.com,,,,020 8327 3375,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1070,,M1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1349,YB1349,YBernard,Yann,,Bernard,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Yann.Bernard@sec.com,,,,01179 885 000,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1345,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1380,AT1380,ATran,Anh,,Tran,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Anh.Tran@sec.com,,,,020 8831 1500,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1345,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
1381,JW1381,JWong,Jeanine,,Wong,,,,Advertising,"Global Marketing, Branding and Corporate Affairs",9,MKTG,MKTG9,4,Los Angeles,,1080,Demetria,Bridges,,Jeanine.Wong@sec.com,,,,01675 435 800,,,Associate Advertising,FT,FullTime,Regular,FullTime,1,Active,2175 North California Blvd  Suite 400,Los Angeles                   ,CA,90501,CA,West,USA,1345,,R1,IPRCCC09,IPRCCC09,,,,,,8/8/2009,,,,,,,,2,Regular,Domestic,
